node,smelly
"{'org.alien4cloud.relationships.kubernetes.RetrieveEtcdIpAddress': {'derived_from': 'org.alien4cloud.relationships.kubernetes.RetrieveTargetIpAddress', 'valid_target_types': ['org.alien4cloud.capabilities.kubernetes.ETCD']}}",false
"{'org.alien4cloud.monitoring.grafana.relationships.GrafanaConnectToGraphite': {'derived_from': 'tosca.relationships.ConnectsTo', 'properties': {'datasource_name': {'type': 'string', 'required': True, 'default': 'Graphite_DS'}}, 'valid_target_types': ['org.alien4cloud.monitoring.pub.capabilities.GraphiteHttpEndpoint'], 'interfaces': {'Configure': {'add_target': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'connects_to_graphite.yml', 'graphite_host': {'get_attribute': ['TARGET', 'http_endpoint', 'ip_address']}, 'graphite_port': {'get_property': ['TARGET', 'http_endpoint', 'port']}, 'grafana_port': {'get_property': ['SOURCE', 'http_endpoint', 'port']}, 'grafana_user': {'get_property': ['SOURCE', 'http_endpoint', 'user']}, 'grafana_password': {'get_property': ['SOURCE', 'http_endpoint', 'password']}, 'datasource_name': {'get_property': ['SELF', 'datasource_name']}}, 'implementation': 'playbook/playbook.ansible'}}}}}",false
"{'org.alien4cloud.relationships.ConnectElasticSearchNodes': {'derived_from': 'tosca.relationships.ConnectsTo', 'description': 'Relationship that models 2 ES nodes connection.', 'valid_target_types': ['alien.capabilities.ElasticSearch'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ES_IP': {'get_attribute': ['TARGET', 'ip_address']}}, 'implementation': 'scripts/pre_configure_source.sh'}, 'pre_configure_target': {'inputs': {'ES_IP': {'get_attribute': ['SOURCE', 'ip_address']}}, 'implementation': 'scripts/pre_configure_target.sh'}}}}}",false
"{'org.alien4cloud.mock.ansible.relationships.AnsibleComponentConnectToComponent': {'derived_from': 'org.alien4cloud.mock.pub.relationships.AbstractComponentConnectToComponent', 'valid_target_types': ['org.alien4cloud.mock.ansible.capabilities.AnsibleComponentEndpoint'], 'interfaces': {'configure': {'pre_configure_source': {'inputs': {'ANSIBLE_VERBOSE': True, 'PLAYBOOK_ENTRY': 'operation.yml', 'operation': 'pre_configure_source AnsibleComponentConnectToComponent', 'duration': 2, 'variation': {'get_property': ['SOURCE', 'variation']}, 'weight': 30, 'log_length': {'get_property': ['SOURCE', 'log_length']}}, 'implementation': 'playbook/playbook.ansible'}, 'pre_configure_target': {'inputs': {'ANSIBLE_VERBOSE': True, 'PLAYBOOK_ENTRY': 'operation.yml', 'operation': 'pre_configure_target AnsibleComponentConnectToComponent', 'duration': 2, 'variation': {'get_property': ['SOURCE', 'variation']}, 'weight': 30, 'log_length': {'get_property': ['SOURCE', 'log_length']}}, 'implementation': 'playbook/playbook.ansible'}, 'post_configure_source': {'inputs': {'ANSIBLE_VERBOSE': True, 'PLAYBOOK_ENTRY': 'operation.yml', 'operation': 'post_configure_source AnsibleComponentConnectToComponent', 'duration': 2, 'variation': {'get_property': ['SOURCE', 'variation']}, 'weight': 30, 'log_length': {'get_property': ['SOURCE', 'log_length']}}, 'implementation': 'playbook/playbook.ansible'}, 'post_configure_target': {'inputs': {'ANSIBLE_VERBOSE': True, 'PLAYBOOK_ENTRY': 'operation.yml', 'operation': 'post_configure_target AnsibleComponentConnectToComponent', 'duration': 2, 'variation': {'get_property': ['SOURCE', 'variation']}, 'weight': 30, 'log_length': {'get_property': ['SOURCE', 'log_length']}}, 'implementation': 'playbook/playbook.ansible'}, 'add_target': {'inputs': {'ANSIBLE_VERBOSE': True, 'PLAYBOOK_ENTRY': 'operation.yml', 'operation': 'add_target AnsibleComponentConnectToComponent', 'duration': 2, 'variation': {'get_property': ['SOURCE', 'variation']}, 'weight': 30, 'log_length': {'get_property': ['SOURCE', 'log_length']}}, 'implementation': 'playbook/playbook.ansible'}, 'add_source': {'inputs': {'ANSIBLE_VERBOSE': True, 'PLAYBOOK_ENTRY': 'operation.yml', 'operation': 'add_source AnsibleComponentConnectToComponent', 'duration': 2, 'variation': {'get_property': ['SOURCE', 'variation']}, 'weight': 30, 'log_length': {'get_property': ['SOURCE', 'log_length']}}, 'implementation': 'playbook/playbook.ansible'}}}}}",unknown
"{'org.alien4cloud.relationships.WarHostedOnTomcat': {'derived_from': 'tosca.relationships.HostedOn', 'description': 'Relationship that allows to deploy a war on tomcat.', 'valid_target_types': ['org.alien4cloud.capabilities.WarContainer'], 'interfaces': {'configure': {'pre_configure_source': {'inputs': {'CONTEXT_PATH': {'get_property': ['SOURCE', 'app_endpoint', 'url_path']}, 'TOMCAT_HOME': {'get_property': ['TARGET', 'tomcat_home']}, 'TOMCAT_PORT': {'get_property': ['TARGET', 'port']}}, 'implementation': 'scripts/tomcat_install_war.sh'}}}}}",false
"{'org.alien4cloud.lang.java.pub.relationships.JavaSoftwareHostedOnJDK': {'derived_from': 'tosca.relationships.HostedOn', 'description': 'Relationship use to describe that the SoftwareComponent is hosted on the JDK.', 'valid_target_types': ['org.alien4cloud.lang.java.pub.capabilities.JDK']}}",false
"{'MyAttachTo': {'derived_from': 'tosca.relationships.AttachesTo', 'properties': {'location': {'type': 'string', 'default': '/default_location'}}}}",false
"{'tosca.relationships.vendor.VendorLinksTo': {'derived_from': 'tosca.relationships.network.LinksTo', 'valid_target_types': ['tosca.capabilities.vendor.VendorLinkable']}}",false
"{'tosca.relationships.vendor.VendorBindsTo': {'derived_from': 'tosca.relationships.network.BindsTo', 'valid_target_types': ['tosca.capabilities.vendor.VendorBindable']}}",false
"{'my.relationships.ConnectsToWebUI': {'derived_from': 'tosca.relationships.ConnectsTo', 'properties': {'target_ip': {'type': 'string'}}, 'interfaces': {'Configure': {'post_configure_source': {'inputs': {'target_ip': {'type': 'string'}}, 'implementation': 'scripts/my_script.sh'}}}}}",false
"{'mycompany.mytypes.myCustomClientServerType': {'derived_from': 'tosca.relationships.HostedOn', 'properties': None}}",lazy
"{'mycompany.mytypes.myCustomConnectionType': {'derived_from': 'tosca.relationships.ConnectsTo', 'properties': None}}",lazy
"{'brooklyn.relationships.Configure': {'derived_from': 'tosca.relationships.DependsOn', 'valid_targets': ['tosca.capabilities.Endpoint'], 'properties': {'prop.name': {'type': 'string', 'required': False}, 'prop.value': {'type': 'string', 'required': True}, 'prop.collection': {'type': 'string', 'required': False}}}}",false
"{'brooklyn.relationships.Configure': {'derived_from': 'tosca.relationships.DependsOn', 'valid_targets': ['tosca.capabilities.Endpoint'], 'properties': {'prop.name': {'type': 'string', 'required': False}, 'prop.value': {'type': 'string', 'required': True}, 'prop.collection': {'type': 'string', 'required': False}}, 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'DB_IP': {'get_attribute': ['TARGET', 'ip_address']}}, 'implementation': 'scripts/test.sh'}, 'pre_configure_target': {'implementation': 'scripts/target.sh'}}}}}",false
"{'brooklyn.relationships.Configure': {'derived_from': 'tosca.relationships.DependsOn', 'valid_targets': ['tosca.capabilities.Endpoint', 'tosca.capabilities.Endpoint.Database'], 'properties': {'prop.name': {'type': 'string', 'required': True}, 'prop.value': {'type': 'string', 'required': True}, 'prop.collection': {'type': 'string', 'required': False}}}}",false
{'tosca.relationships.indigo.Manages': {'derived_from': 'tosca.relationships.Root'}},lazy
"{'tosca.relationships.indigo.AttachesTo': {'derived_from': 'tosca.relationships.AttachesTo', 'properties': {'fs_type': {'type': 'string', 'required': False, 'default': None}}}}",false
"{'SmartPlug': {'properties': {'vendor': {'type': 'string', 'required': False}}, 'attributes': {'ip_address': {'type': 'string'}}}}",false
"{'SuperSmartPlug': {'derived_from': 'SmartPlug', 'properties': {'failsafe': {'type': 'boolean'}}}}",false
"{'Root': {'description': 'The TOSCA root Relationship Type all other TOSCA base Relationship Types derive from', 'attributes': {'tosca_id': {'type': 'string', 'description': 'A unique identifier of the realized instance of a Relationship Template that derives from any TOSCA normative type.'}, 'tosca_name': {'type': 'string', 'description': 'This attribute reflects the name of the Relationship Template as defined in the TOSCA service template.  This name is not unique to the realized instance model of corresponding deployed application as each template in the model can result in one or more instances (e.g., scaled) when orchestrated to a provider environment.\n'}, 'state': {'type': 'string', 'description': 'The state of the relationship instance.', 'default': 'initial'}}, 'interfaces': {'Configure': {'type': 'relationship.Configure'}}}}",false
"{'DependsOn': {'derived_from': 'Root', 'description': 'This type represents a general dependency relationship between two nodes.', 'valid_target_types': ['Node']}}",false
"{'HostedOn': {'derived_from': 'Root', 'description': 'This type represents a hosting relationship between two nodes.', 'valid_target_types': ['Container']}}",false
"{'ConnectsTo': {'derived_from': 'Root', 'description': 'This type represents a network connection relationship between two nodes.', 'valid_target_types': ['Endpoint'], 'properties': {'credential': {'type': 'Credential', 'description': 'The security credential to use to present to the target endpoint to for either authentication or authorization purposes.', 'required': False}}}}",false
"{'AttachesTo': {'derived_from': 'Root', 'valid_target_types': ['Attachment'], 'properties': {'location': {'type': 'string', 'constraints': [{'min_length': 1}]}, 'device': {'type': 'string', 'required': False}}}}",false
"{'RoutesTo': {'derived_from': 'ConnectsTo', 'description': 'This type represents an intentional network routing between two Endpoints in different networks.', 'valid_target_types': ['Endpoint']}}",false
"{'tosca.relationships.Root': {'description': 'The TOSCA root Relationship Type all other TOSCA base Relationship Types derive from', 'attributes': {'tosca_id': {'type': 'string', 'description': 'A unique identifier of the realized instance of a Relationship Template that derives from any TOSCA normative type.'}, 'tosca_name': {'type': 'string', 'description': 'This attribute reflects the name of the Relationship Template as defined in the TOSCA service template.  This name is not unique to the realized instance model of corresponding deployed application as each template in the model can result in one or more instances (e.g., scaled) when orchestrated to a provider environment.\n'}, 'state': {'type': 'string', 'description': 'The state of the relationship instance.', 'default': 'initial'}}, 'interfaces': {'Configure': {'type': 'tosca.interfaces.relationship.Configure'}}}}",false
"{'tosca.relationships.DependsOn': {'derived_from': 'tosca.relationships.Root', 'description': 'This type represents a general dependency relationship between two nodes.', 'valid_target_types': ['tosca.capabilities.Node']}}",false
"{'tosca.relationships.HostedOn': {'derived_from': 'tosca.relationships.Root', 'description': 'This type represents a hosting relationship between two nodes.', 'valid_target_types': ['tosca.capabilities.Container']}}",false
"{'tosca.relationships.ConnectsTo': {'derived_from': 'tosca.relationships.Root', 'description': 'This type represents a network connection relationship between two nodes.', 'valid_target_types': ['tosca.capabilities.Endpoint'], 'properties': {'credential': {'type': 'tosca.datatypes.Credential', 'description': 'The security credential to use to present to the target endpoint to for either authentication or authorization purposes.', 'required': False}}}}",false
"{'tosca.relationships.AttachesTo': {'derived_from': 'tosca.relationships.Root', 'valid_target_types': ['tosca.capabilities.Attachment'], 'properties': {'location': {'type': 'string', 'constraints': [{'min_length': 1}]}, 'device': {'type': 'string', 'required': False}}}}",false
"{'tosca.relationships.RoutesTo': {'derived_from': 'tosca.relationships.ConnectsTo', 'description': 'This type represents an intentional network routing between two Endpoints in different networks.', 'valid_target_types': ['tosca.capabilities.Endpoint']}}",false
"{'插頭': {'properties': {'供應商': {'type': 'string'}}, 'attributes': {'IP地址': {'type': 'string'}}}}",false
{'Route': {'valid_target_types': ['Service']}},false
{'Depends': {}},lazy
"{'tosca.relationships.nfv.VirtualBindsTo': {'metadata': {'puccini.normative': 'true', 'specification.citation': '[TOSCA-Simple-Profile-NFV-v1.0-csd04]', 'specification.location': '5.7.1'}, 'description': 'This relationship type represents an association relationship between VDU and CP node types.', 'derived_from': 'tosca.relationships.DependsOn', 'valid_target_types': ['tosca.capabilities.nfv.VirtualBindable']}}",false
"{'tosca.relationships.nfv.Monitor': {'metadata': {'puccini.normative': 'true', 'specification.citation': '[TOSCA-Simple-Profile-NFV-v1.0-csd04]', 'specification.location': '5.7.2'}, 'description': 'This relationship type represents an association relationship to the Metric capability of VDU node types.', 'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['tosca.capabilities.nfv.Metric']}}",false
{'Connection': {}},lazy
"{'Routing': {'derived_from': 'Connection', 'properties': {'routes': {'type': 'list', 'entry_schema': 'Route'}}}}",false
"{'tosca.relationships.samples.basic.SampleRelationship': {'derived_from': 'tosca.relationships.ConnectsTo', 'description': None, 'interfaces': {'Configure': {'add_target': {'inputs': {'PROTOCOL': {'get_attribute': ['TARGET', 'protocol']}, 'IP': {'get_attribute': ['TARGET', 'ip_address']}, 'PORT': {'get_attribute': ['TARGET', 'port']}, 'URL_PATH': {'get_attribute': ['TARGET', 'url_path']}}, 'implementation': 'scripts/samplerelationship_add_target.sh'}, 'remove_target': {'inputs': {'PROTOCOL': {'get_attribute': ['TARGET', 'protocol']}, 'IP': {'get_attribute': ['TARGET', 'ip_address']}, 'PORT': {'get_attribute': ['TARGET', 'port']}, 'URL_PATH': {'get_attribute': ['TARGET', 'url_path']}}, 'implementation': 'scripts/samplerelationship_remove_target.sh'}}}}}",false
"{'Trunk': {'properties': {'endpoint': {'type': 'string'}}, 'attributes': {'ip': {'type': 'string'}}}}",false
"{'tosca.relationships.MiCADO.ConnectsTo': {'description': 'used to connect containers over a specific Docker network', 'derived_from': 'tosca.relationships.ConnectsTo', 'properties': {'network': {'type': 'string', 'description': 'Name of Docker network to connect containers over', 'required': True}}}}",false
"{'org.alien4cloud.terraform.openstack.relationships.SecurityGroup': {'derived_from': 'tosca.relationships.DependsOn', 'valid_target_types': ['org.alien4cloud.terraform.openstack.capabilities.SecurityGroup'], 'interfaces': {'configure': {'add_target': {'inputs': {'_TF_OPENSTACK_CONFIG': {'get_property': ['SOURCE', 'openstack_config']}, '_TF_FLOATING_IP': {'get_attribute': ['TARGET', 'public_ip']}}, 'implementation': 'scripts/tf_rel_sg_add_target.sh'}, 'remove_target': {'implementation': 'scripts/tf_rel_sg_remove_target.sh'}, 'add_source': {'implementation': 'scripts/tf_rel_sg_add_source.sh'}, 'remove_source': {'implementation': 'scripts/tf_rel_sg_remove_source.sh'}}}}}",false
"{'org.alien4cloud.grafana.linux_ans.relationships.GrafanaConnectToGraphite': {'derived_from': 'tosca.relationships.ConnectsTo', 'properties': {'datasource_name': {'type': 'string', 'required': True, 'default': 'Graphite_DS'}}, 'valid_target_types': ['org.alien4cloud.graphite.pub.capabilities.GraphiteHttpEndpoint'], 'interfaces': {'Configure': {'add_target': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'connects_to_graphite.yml', 'graphite_host': {'get_attribute': ['TARGET', 'http_endpoint', 'ip_address']}, 'graphite_port': {'get_property': ['TARGET', 'http_endpoint', 'port']}, 'grafana_port': {'get_property': ['SOURCE', 'http_endpoint', 'port']}, 'grafana_user': {'get_property': ['SOURCE', 'http_endpoint', 'user']}, 'grafana_password': {'get_property': ['SOURCE', 'http_endpoint', 'password']}, 'datasource_name': {'get_property': ['SELF', 'datasource_name']}}, 'implementation': 'playbook/playbook.ansible'}}}}}",false
"{'org.alien4cloud.spark.linux_sh.relationships.JoinSparkCluster': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.spark.linux_sh.nodes.SparkMaster'], 'interfaces': {'Configure': {'add_target': {'inputs': {'SPARK_INSTALL_DIR': {'get_property': ['SOURCE', 'install_dir']}, 'SPARK_MASTER_ADDRESS': {'get_attribute': ['TARGET', 'ip_address']}, 'SPARK_SLAVE_ADDRESS': {'get_attribute': ['SOURCE', 'ip_address']}, 'SPARK_MASTER_PORT': {'get_attribute': ['TARGET', 'spark_master', 'port']}}, 'implementation': 'scripts/join_spark_cluster.sh'}}}}}",false
"{'org.alien4cloud.java.pub.relationships.JavaSoftwareHostedOnJDK': {'derived_from': 'tosca.relationships.HostedOn', 'description': 'Relationship use to describe that the SoftwareComponent is hosted on the JDK.', 'valid_target_types': ['org.alien4cloud.java.pub.capabilities.JDK']}}",false
{'org.alien4cloud.diamond.pub.relationships.DiamondCollectorHostedOnAgent': {'derived_from': 'tosca.relationships.HostedOn'}},lazy
"{'org.alien4cloud.alien4cloud.config.orchestrator.cfy.relationships.ConnectsToCfy': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.cloudify.manager.pub.capabilities.CloudifyAPIv3'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'connect_cfy.yml', 'cfy_user': {'get_property': ['TARGET', 'cloudify_api_v3', 'admin_username']}, 'cfy_password': {'get_property': ['TARGET', 'cloudify_api_v3', 'admin_password']}, 'cfy_url': {'concat': [{'get_property': ['TARGET', 'cloudify_api_v3', 'protocol']}, '://', {'get_attribute': ['TARGET', 'cloudify_api_v3', 'ip_address']}, ':', {'get_property': ['TARGET', 'cloudify_api_v3', 'port']}]}}, 'implementation': 'playbook/playbook.ansible'}}}}}",false
"{'org.alien4cloud.consul.relationships.ConnectToConsulAgent': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.consul.pub.capabilities.ConsulAgent'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'TLS_ENABLED': {'get_property': ['TARGET', 'tls_enabled']}, 'CA_PEM': {'get_property': ['SOURCE', 'ca_pem']}, 'CA_KEY': {'get_property': ['SOURCE', 'ca_key']}, 'CA_PASSPHRASE': {'get_property': ['SOURCE', 'ca_passphrase']}, 'AGENT_IP': {'get_attribute': ['TARGET', 'ip_address']}, 'AGENT_API_PORT': {'get_property': ['TARGET', 'consul_agent', 'port']}}, 'implementation': 'scripts/ConnectToConsulAgent/pre_configure_source.sh'}}}, 'artifacts': [{'ssl': {'file': 'ssl', 'type': 'tosca.artifacts.File'}}, {'commons': {'file': 'scripts/commons', 'type': 'tosca.artifacts.File'}}]}}",false
"{'org.alien4cloud.alien4cloud.webapp.relationships.AlienConnectToElasticSearch': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.elasticsearch.pub.capabilities.ElasticSearchTransportAPI'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ES_IP': {'get_attribute': ['TARGET', 'ip_address']}, 'ES_PORT': {'get_property': ['TARGET', 'elasticsearch', 'port']}, 'CLUSTER_NAME': {'get_property': ['TARGET', 'cluster_name']}}, 'implementation': 'scripts/elasticsearch/ConnectToElasticSearch/pre_configure_source.sh'}}}, 'artifacts': [{'commons': {'file': 'scripts/commons', 'type': 'tosca.artifacts.File'}}]}}",false
"{'org.alien4cloud.samba.relationships.ConnectsToSambaServer': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.samba.capabilities.SambaServer'], 'properties': {'mount_point': {'type': 'string', 'default': '/var/alien4cloud'}}, 'interfaces': {'Configure': {'add_target': {'inputs': {'SAMBA_SERVER_IP': {'get_attribute': ['TARGET', 'ip_address']}, 'SHARE_NAME': {'get_property': ['TARGET', 'share_name']}, 'MOUNT_POINT': {'get_property': ['SELF', 'mount_point']}}, 'implementation': 'scripts/smbClient/add_target.sh'}, 'remove_target': {'inputs': {'MOUNT_POINT': {'get_property': ['SELF', 'mount_point']}}, 'implementation': 'scripts/smbClient/remove_target.sh'}}}, 'artifacts': [{'commons': {'file': 'scripts/commons', 'type': 'tosca.artifacts.File'}}]}}",false
"{'org.alien4cloud.vault.relationships.ConnectToConsulAgent': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.consul.pub.capabilities.ConsulAgent'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'AGENT_IP': {'get_attribute': ['TARGET', 'private_address']}, 'AGENT_API_PORT': {'get_property': ['TARGET', 'consul_agent', 'port']}, 'AGENT_TLS_ENABLED': {'get_property': ['TARGET', 'tls_enabled']}, 'VAULT_IP': {'get_attribute': ['SOURCE', 'private_address']}, 'VAULT_PORT': {'get_property': ['SOURCE', 'port']}, 'PUBLIC_ADDRESS': {'get_attribute': ['SOURCE', 'public_address']}, 'CA_PEM': {'get_property': ['SOURCE', 'ca_pem']}, 'CA_KEY': {'get_property': ['SOURCE', 'ca_key']}, 'CA_PASSPHRASE': {'get_property': ['SOURCE', 'ca_passphrase']}}, 'implementation': 'scripts/vault/configure_vault.sh'}}}}}",false
"{'org.alien4cloud.vault.vault_sh.relationships.PolicyHostedOnVaultServer': {'derived_from': 'tosca.relationships.HostedOn', 'valid_target_types': ['org.alien4cloud.vault.vault_sh.nodes.VaultServer']}}",false
"{'org.alien4cloud.vault.pub.relationships.PolicyHostedOnVaultServer': {'derived_from': 'tosca.relationships.HostedOn', 'description': 'Relationship use to describe that the vault policy is hosted on the vault server.', 'valid_target_types': ['org.alien4cloud.vault.pub.capabilities.VaultServer']}}",false
"{'org.alien4cloud.kubernetes.kubeadm.relationships.HostedOnDocker': {'derived_from': 'tosca.relationships.HostedOn', 'valid_target_types': ['org.alien4cloud.kubernetes.kubeadm.capabilities.DockerHost']}}",false
"{'org.alien4cloud.kubernetes.kubeadm.relationships.JoinMaster': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.kubernetes.kubeadm.capabilities.MasterCluster'], 'interfaces': {'configure': {'post_configure_source': {'implementation': 'scripts/kubernetes/join-master.sh', 'inputs': {'MASTER_IP': {'get_attribute': ['TARGET', 'ip_address']}, 'KUBE_TOKEN': {'get_attribute': ['TARGET', 'kube_token']}, 'KUBE_SHA256': {'get_attribute': ['TARGET', 'kube_sha256']}}}}}}}",false
"{'org.alien4cloud.alien4cloud.config.location_resources.cfy_byon.LocationConnectsToHostpool': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.cloudify.hostpool.pub.capabilities.HostPoolServiceApi'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'connect_hostpool.yml', 'hostpool_url': {'concat': [{'get_property': ['TARGET', 'cloudify_hostpool', 'protocol']}, '://', {'get_attribute': ['TARGET', 'cloudify_hostpool', 'ip_address']}, ':', {'get_property': ['TARGET', 'cloudify_hostpool', 'port']}]}}, 'implementation': 'playbook/playbook.ansible'}}}}}",false
"{'org.alien4cloud.mysql.linux_pup.relationships.MysqlHostedOnAgentPuppet': {'derived_from': 'tosca.relationships.HostedOn', 'description': 'Relationship use to describe that the website is deployed on the target Apache server.', 'valid_target_types': ['org.alien4cloud.agentpuppet.capabilities.PuppetAgentContainer']}}",false
{'org.alien4cloud.alien4cloud.pub.relationships.AlienConfiguratorHostedOnAlien': {'derived_from': 'tosca.relationships.HostedOn'}},lazy
"{'org.alien4cloud.diamond.collectors.relationships.DiamondCollectElasticSearch': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.elasticsearch.pub.capabilities.ElasticSearchRestAPI'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'collect_elasticsearch.yml', 'datasource_name': {'get_attribute': ['SOURCE', 'datasource_name']}, 'collectors_conf_path': {'get_attribute': ['SOURCE', 'collectors_conf_path']}, 'dashboard_dir': {'get_attribute': ['SOURCE', 'dashboard_dir']}, 'elasticsearch_host': {'get_attribute': ['TARGET', 'http', 'ip_address']}, 'elasticsearch_port': {'get_attribute': ['TARGET', 'http', 'port']}}, 'implementation': 'playbook/playbook.ansible'}}}}}",false
"{'org.alien4cloud.diamond.collectors.relationships.DiamondJolokiaCollector': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.java.jmx.jolokia.capabilities.JolokiaEndpoint'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'collect_jolokia.yml', 'datasource_name': {'get_attribute': ['SOURCE', 'datasource_name']}, 'collectors_conf_path': {'get_attribute': ['SOURCE', 'collectors_conf_path']}, 'dashboard_dir': {'get_attribute': ['SOURCE', 'dashboard_dir']}, 'jolokia_host': {'get_attribute': ['TARGET', 'ip_address']}, 'jolokia_port': {'get_attribute': ['TARGET', 'jolokia', 'port']}}, 'implementation': 'playbook/playbook.ansible'}}}}}",false
"{'org.alien4cloud.diamond.collectors.relationships.DiamondRabbitmqCollector': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.rabbitmq.pub.capabilities.RabbitMQManagementEndpoint'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'collect_rabbitmq.yml', 'datasource_name': {'get_attribute': ['SOURCE', 'datasource_name']}, 'collectors_conf_path': {'get_attribute': ['SOURCE', 'collectors_conf_path']}, 'dashboard_dir': {'get_attribute': ['SOURCE', 'dashboard_dir']}, 'rabbitmq_port': {'get_attribute': ['TARGET', 'rabbitmq_management', 'port']}, 'rabbitmq_user': {'get_attribute': ['TARGET', 'rabbitmq_management', 'user']}, 'rabbitmq_password': {'get_attribute': ['TARGET', 'rabbitmq_management', 'password']}}, 'implementation': 'playbook/playbook.ansible'}}}}}",false
"{'org.alien4cloud.diamond.collectors.relationships.DiamondPostgresqlCollector': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.postgresql.pub.PostgresqlEndpoint'], 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'collect_postgresql.yml', 'datasource_name': {'get_attribute': ['SOURCE', 'datasource_name']}, 'collectors_conf_path': {'get_attribute': ['SOURCE', 'collectors_conf_path']}, 'dashboard_dir': {'get_attribute': ['SOURCE', 'dashboard_dir']}, 'postgresql_port': {'get_attribute': ['TARGET', 'postgresql', 'port']}, 'postgresql_user': {'get_attribute': ['TARGET', 'postgresql', 'user']}, 'postgresql_password': {'get_attribute': ['TARGET', 'postgresql', 'password']}}, 'implementation': 'playbook/playbook.ansible'}}}}}",false
"{'org.alien4cloud.diamond.collectors.relationships.DiamondA4CCollector': {'derived_from': 'org.alien4cloud.diamond.collectors.relationships.DiamondJolokiaCollector', 'valid_target_types': ['org.alien4cloud.alien4cloud.pub.capabilities.JolokiaA4CEndpoint'], 'interfaces': {'Configure': {'pre_configure_target': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'collect_alien.yml', 'datasource_name': {'get_attribute': ['SOURCE', 'datasource_name']}, 'collectors_conf_path': {'get_attribute': ['SOURCE', 'collectors_conf_path']}, 'dashboard_dir': {'get_attribute': ['SOURCE', 'dashboard_dir']}, 'jolokia_host': {'get_attribute': ['TARGET', 'jolokia', 'ip_address']}, 'alien_data_dir': {'get_property': ['TARGET', 'data_dir']}, 'jolokia_port': {'get_property': ['TARGET', 'jolokia', 'port']}}, 'implementation': 'playbook/playbook.ansible'}}}}}",false
"{'org.alien4cloud.diamond.collectors.relationships.DiamondCloudifyCollector': {'derived_from': 'tosca.relationships.ConnectsTo', 'valid_target_types': ['org.alien4cloud.cloudify.manager.pub.capabilities.CloudifyMonitorEndpoint'], 'properties': {'collector_name': {'type': 'string', 'default': 'CloudifyCollector'}}, 'interfaces': {'Configure': {'pre_configure_source': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'collect_custom.yml', 'datasource_name': {'get_attribute': ['SOURCE', 'datasource_name']}, 'collectors_conf_path': {'get_attribute': ['SOURCE', 'collectors_conf_path']}, 'dashboard_dir': {'get_attribute': ['SOURCE', 'dashboard_dir']}, 'collector_name': {'get_property': ['SELF', 'collector_name']}}, 'implementation': 'playbook/playbook.ansible'}, 'pre_configure_target': {'inputs': {'ANSIBLE_VERBOSE': False, 'PLAYBOOK_ENTRY': 'install_custom_collector.yml', 'collectors_path': {'get_attribute': ['SOURCE', 'collectors_path']}, 'collector_name': {'get_property': ['SELF', 'collector_name']}}, 'implementation': 'playbook/playbook.ansible'}}}}}",false
